VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
0,0,0,0,0.54688,1,0,0,-1,0,1,1,1,1,0,1,0.50146,0.5,0.50146,0.5,0.99213,-0.09449,0,1
1,1,0,0.10663,0.53613,1,0,-0.20472,-0.97638,0,1,1,1,1,0,0.9375,0.50146,0.57227,0.50146,0.57227,0.99213,-0.09449,0.01575,1
2,2,0.02081,0.10461,0.53613,1,-0.03937,-0.19685,-0.97638,0,1,1,1,1,0.03125,0.9375,0.4873,0.5708,0.4873,0.5708,0.98425,-0.19685,0,1
3,1,0,0.10663,0.53613,1,0,-0.20472,-0.97638,0,1,1,1,1,0,0.9375,0.50146,0.57227,0.50146,0.57227,0.99213,-0.09449,0.01575,1
4,3,0.0408,0.2052,0.50488,1,-0.07874,-0.37795,-0.92126,0,1,1,1,1,0.03125,0.875,0.47363,0.63916,0.47363,0.63916,0.98425,-0.19685,0,1
5,2,0.02081,0.10461,0.53613,1,-0.03937,-0.19685,-0.97638,0,1,1,1,1,0.03125,0.9375,0.4873,0.5708,0.4873,0.5708,0.98425,-0.19685,0,1
6,1,0,0.10663,0.53613,1,0,-0.20472,-0.97638,0,1,1,1,1,0,0.9375,0.50146,0.57227,0.50146,0.57227,0.99213,-0.09449,0.01575,1
7,4,0,0.20923,0.50488,1,0,-0.38583,-0.92126,0,1,1,1,1,0,0.875,0.50146,0.64209,0.50146,0.64209,0.99213,-0.08661,0.0315,1
8,3,0.0408,0.2052,0.50488,1,-0.07874,-0.37795,-0.92126,0,1,1,1,1,0.03125,0.875,0.47363,0.63916,0.47363,0.63916,0.98425,-0.19685,0,1
9,2,0.02081,0.10461,0.53613,1,-0.03937,-0.19685,-0.97638,0,1,1,1,1,0.03125,0.9375,0.4873,0.5708,0.4873,0.5708,0.98425,-0.19685,0,1
10,3,0.0408,0.2052,0.50488,1,-0.07874,-0.37795,-0.92126,0,1,1,1,1,0.03125,0.875,0.47363,0.63916,0.47363,0.63916,0.98425,-0.19685,0,1
11,5,0.08008,0.19324,0.50488,1,-0.14961,-0.3622,-0.92126,0,1,1,1,1,0.0625,0.875,0.44702,0.63135,0.44702,0.63135,0.92126,-0.38583,0,1
12,2,0.02081,0.10461,0.53613,1,-0.03937,-0.19685,-0.97638,0,1,1,1,1,0.03125,0.9375,0.4873,0.5708,0.4873,0.5708,0.98425,-0.19685,0,1
13,5,0.08008,0.19324,0.50488,1,-0.14961,-0.3622,-0.92126,0,1,1,1,1,0.0625,0.875,0.44702,0.63135,0.44702,0.63135,0.92126,-0.38583,0,1
14,6,0.0408,0.09851,0.53613,1,-0.07874,-0.18898,-0.97638,0,1,1,1,1,0.0625,0.9375,0.47363,0.56689,0.47363,0.56689,0.92126,-0.38583,0,1
15,7,0,0,0.54688,1,0,0,-1,0,1,1,1,1,0.03125,1,0.50146,0.5,0.50146,0.5,0.96063,-0.29134,0,1
16,2,0.02081,0.10461,0.53613,1,-0.03937,-0.19685,-0.97638,0,1,1,1,1,0.03125,0.9375,0.4873,0.5708,0.4873,0.5708,0.98425,-0.19685,0,1
17,6,0.0408,0.09851,0.53613,1,-0.07874,-0.18898,-0.97638,0,1,1,1,1,0.0625,0.9375,0.47363,0.56689,0.47363,0.56689,0.92126,-0.38583,0,1
18,6,0.0408,0.09851,0.53613,1,-0.07874,-0.18898,-0.97638,0,1,1,1,1,0.0625,0.9375,0.47363,0.56689,0.47363,0.56689,0.92126,-0.38583,0,1
19,5,0.08008,0.19324,0.50488,1,-0.14961,-0.3622,-0.92126,0,1,1,1,1,0.0625,0.875,0.44702,0.63135,0.44702,0.63135,0.92126,-0.38583,0,1
20,8,0.11621,0.17395,0.50488,1,-0.2126,-0.32283,-0.92126,0,1,1,1,1,0.09375,0.875,0.42261,0.61816,0.42261,0.61816,0.83465,-0.55906,0,1
21,6,0.0408,0.09851,0.53613,1,-0.07874,-0.18898,-0.97638,0,1,1,1,1,0.0625,0.9375,0.47363,0.56689,0.47363,0.56689,0.92126,-0.38583,0,1
22,8,0.11621,0.17395,0.50488,1,-0.2126,-0.32283,-0.92126,0,1,1,1,1,0.09375,0.875,0.42261,0.61816,0.42261,0.61816,0.83465,-0.55906,0,1
23,9,0.05927,0.08868,0.53613,1,-0.11024,-0.16535,-0.97638,0,1,1,1,1,0.09375,0.9375,0.46118,0.56006,0.46118,0.56006,0.83465,-0.55906,0,1
24,10,0,0,0.54688,1,0,0,-1,0,1,1,1,1,0.0625,1,0.50146,0.5,0.50146,0.5,0.88189,-0.47244,0,1
25,6,0.0408,0.09851,0.53613,1,-0.07874,-0.18898,-0.97638,0,1,1,1,1,0.0625,0.9375,0.47363,0.56689,0.47363,0.56689,0.92126,-0.38583,0,1
26,9,0.05927,0.08868,0.53613,1,-0.11024,-0.16535,-0.97638,0,1,1,1,1,0.09375,0.9375,0.46118,0.56006,0.46118,0.56006,0.83465,-0.55906,0,1
27,9,0.05927,0.08868,0.53613,1,-0.11024,-0.16535,-0.97638,0,1,1,1,1,0.09375,0.9375,0.46118,0.56006,0.46118,0.56006,0.83465,-0.55906,0,1
28,8,0.11621,0.17395,0.50488,1,-0.2126,-0.32283,-0.92126,0,1,1,1,1,0.09375,0.875,0.42261,0.61816,0.42261,0.61816,0.83465,-0.55906,0,1
29,11,0.14795,0.14795,0.50488,1,-0.27559,-0.27559,-0.92126,0,1,1,1,1,0.125,0.875,0.40112,0.60059,0.40112,0.60059,0.70866,-0.70866,0,1
30,9,0.05927,0.08868,0.53613,1,-0.11024,-0.16535,-0.97638,0,1,1,1,1,0.09375,0.9375,0.46118,0.56006,0.46118,0.56006,0.83465,-0.55906,0,1
