VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD0.w, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD1.z, TEXCOORD1.w, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z, TEXCOORD2.w, TEXCOORD3.x, TEXCOORD3.y, TEXCOORD3.z, TEXCOORD3.w, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
0, 0,  0.00,  0.00,  0.54688,  1.00,  0.00,  0.00, -1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1, 1,  0.00,  0.10663,  0.53613,  1.00,  0.00, -0.20472, -0.97638,  0.00,  0.00,  0.00,  0.82745,  0.18039,  0.00,  0.00,  0.82745,  0.18039,  0.00,  0.00,  0.82745,  0.18039,  0.00,  0.00,  0.82745,  0.18039,  0.00,  0.00,  0.82745,  0.18039,  0.00,  0.00,  0.82745,  0.18039
2, 2,  0.02081,  0.10461,  0.53613,  1.00, -0.03937, -0.19685, -0.97638,  0.00,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039
3, 1,  0.00,  0.10663,  0.53613,  1.00,  0.00, -0.20472, -0.97638,  0.00,  0.00,  0.00,  0.82745,  0.18039,  0.00,  0.00,  0.82745,  0.18039,  0.00,  0.00,  0.82745,  0.18039,  0.00,  0.00,  0.82745,  0.18039,  0.00,  0.00,  0.82745,  0.18039,  0.00,  0.00,  0.82745,  0.18039
4, 3,  0.0408,  0.2052,  0.50488,  1.00, -0.07874, -0.37795, -0.92126,  0.00,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608
5, 2,  0.02081,  0.10461,  0.53613,  1.00, -0.03937, -0.19685, -0.97638,  0.00,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039
6, 1,  0.00,  0.10663,  0.53613,  1.00,  0.00, -0.20472, -0.97638,  0.00,  0.00,  0.00,  0.82745,  0.18039,  0.00,  0.00,  0.82745,  0.18039,  0.00,  0.00,  0.82745,  0.18039,  0.00,  0.00,  0.82745,  0.18039,  0.00,  0.00,  0.82745,  0.18039,  0.00,  0.00,  0.82745,  0.18039
7, 4,  0.00,  0.20923,  0.50488,  1.00,  0.00, -0.38583, -0.92126,  0.00,  0.00,  0.00,  0.69804,  0.19608,  0.00,  0.00,  0.69804,  0.19608,  0.00,  0.00,  0.69804,  0.19608,  0.00,  0.00,  0.69804,  0.19608,  0.00,  0.00,  0.69804,  0.19608,  0.00,  0.00,  0.69804,  0.19608
8, 3,  0.0408,  0.2052,  0.50488,  1.00, -0.07874, -0.37795, -0.92126,  0.00,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608,  0.22353,  0.16078,  0.56863,  0.19608
9, 2,  0.02081,  0.10461,  0.53613,  1.00, -0.03937, -0.19685, -0.97638,  0.00,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039,  0.32941,  0.1451,  0.69804,  0.18039
